prefix4,алек
prefix3,але
prefix2,ал
prefix1,а
postfix4,андр
postfix3,ндр
postfix2,др
postfix1,р
posStart,0
pos,S
link,_root
len,9
lemma,АЛЕКСАНДР
isupper,0
istitle,1
islower,0
isdigit,0
isalpha,1
isalnum,1
isLastWord,0
isFirstWord,1
grm,МУЖ ИМ ОД ЕД
forma,александр
dom,-1
ID,0
2dom_prefix4,
2dom_prefix3,
2dom_prefix2,
2dom_prefix1,
2dom_postfix4,
2dom_postfix3,
2dom_postfix2,
2dom_postfix1,
2dom_posStart,
2dom_pos,
2dom_link,
2dom_len,
2dom_lemma,
2dom_isupper,0
2dom_istitle,0
2dom_islower,0
2dom_isdigit,0
2dom_isalpha,0
2dom_isalnum,0
2dom_isLastWord,0
2dom_isFirstWord,0
2dom_grm,
2dom_forma,
2dom_dom,
2dom_ID,
1dom_prefix4,
1dom_prefix3,
1dom_prefix2,
1dom_prefix1,
1dom_postfix4,
1dom_postfix3,
1dom_postfix2,
1dom_postfix1,
1dom_posStart,
1dom_pos,
1dom_link,
1dom_len,
1dom_lemma,
1dom_isupper,0
1dom_istitle,0
1dom_islower,0
1dom_isdigit,0
1dom_isalpha,0
1dom_isalnum,0
1dom_isLastWord,0
1dom_isFirstWord,0
1dom_grm,
1dom_forma,
1dom_dom,
1dom_ID,
-5_prefix4,
-5_prefix3,
-5_prefix2,
-5_prefix1,
-5_postfix4,
-5_postfix3,
-5_postfix2,
-5_postfix1,
-5_posStart,
-5_pos,
-5_link,
-5_len,
-5_lemma,
-5_isupper,0
-5_istitle,0
-5_islower,0
-5_isdigit,0
-5_isalpha,0
-5_isalnum,0
-5_isLastWord,0
-5_isFirstWord,0
-5_grm,
-5_forma,
-5_dom,
-5_ID,
-5_2dom_prefix4,
-5_2dom_prefix3,
-5_2dom_prefix2,
-5_2dom_prefix1,
-5_2dom_postfix4,
-5_2dom_postfix3,
-5_2dom_postfix2,
-5_2dom_postfix1,
-5_2dom_posStart,
-5_2dom_pos,
-5_2dom_link,
-5_2dom_len,
-5_2dom_lemma,
-5_2dom_isupper,0
-5_2dom_istitle,0
-5_2dom_islower,0
-5_2dom_isdigit,0
-5_2dom_isalpha,0
-5_2dom_isalnum,0
-5_2dom_isLastWord,0
-5_2dom_isFirstWord,0
-5_2dom_grm,
-5_2dom_forma,
-5_2dom_dom,
-5_2dom_ID,
-5_1dom_prefix4,
-5_1dom_prefix3,
-5_1dom_prefix2,
-5_1dom_prefix1,
-5_1dom_postfix4,
-5_1dom_postfix3,
-5_1dom_postfix2,
-5_1dom_postfix1,
-5_1dom_posStart,
-5_1dom_pos,
-5_1dom_link,
-5_1dom_len,
-5_1dom_lemma,
-5_1dom_isupper,0
-5_1dom_istitle,0
-5_1dom_islower,0
-5_1dom_isdigit,0
-5_1dom_isalpha,0
-5_1dom_isalnum,0
-5_1dom_isLastWord,0
-5_1dom_isFirstWord,0
-5_1dom_grm,
-5_1dom_forma,
-5_1dom_dom,
-5_1dom_ID,
-4_prefix4,
-4_prefix3,
-4_prefix2,
-4_prefix1,
-4_postfix4,
-4_postfix3,
-4_postfix2,
-4_postfix1,
-4_posStart,
-4_pos,
-4_link,
-4_len,
-4_lemma,
-4_isupper,0
-4_istitle,0
-4_islower,0
-4_isdigit,0
-4_isalpha,0
-4_isalnum,0
-4_isLastWord,0
-4_isFirstWord,0
-4_grm,
-4_forma,
-4_dom,
-4_ID,
-4_2dom_prefix4,
-4_2dom_prefix3,
-4_2dom_prefix2,
-4_2dom_prefix1,
-4_2dom_postfix4,
-4_2dom_postfix3,
-4_2dom_postfix2,
-4_2dom_postfix1,
-4_2dom_posStart,
-4_2dom_pos,
-4_2dom_link,
-4_2dom_len,
-4_2dom_lemma,
-4_2dom_isupper,0
-4_2dom_istitle,0
-4_2dom_islower,0
-4_2dom_isdigit,0
-4_2dom_isalpha,0
-4_2dom_isalnum,0
-4_2dom_isLastWord,0
-4_2dom_isFirstWord,0
-4_2dom_grm,
-4_2dom_forma,
-4_2dom_dom,
-4_2dom_ID,
-4_1dom_prefix4,
-4_1dom_prefix3,
-4_1dom_prefix2,
-4_1dom_prefix1,
-4_1dom_postfix4,
-4_1dom_postfix3,
-4_1dom_postfix2,
-4_1dom_postfix1,
-4_1dom_posStart,
-4_1dom_pos,
-4_1dom_link,
-4_1dom_len,
-4_1dom_lemma,
-4_1dom_isupper,0
-4_1dom_istitle,0
-4_1dom_islower,0
-4_1dom_isdigit,0
-4_1dom_isalpha,0
-4_1dom_isalnum,0
-4_1dom_isLastWord,0
-4_1dom_isFirstWord,0
-4_1dom_grm,
-4_1dom_forma,
-4_1dom_dom,
-4_1dom_ID,
-3_prefix4,
-3_prefix3,
-3_prefix2,
-3_prefix1,
-3_postfix4,
-3_postfix3,
-3_postfix2,
-3_postfix1,
-3_posStart,
-3_pos,
-3_link,
-3_len,
-3_lemma,
-3_isupper,0
-3_istitle,0
-3_islower,0
-3_isdigit,0
-3_isalpha,0
-3_isalnum,0
-3_isLastWord,0
-3_isFirstWord,0
-3_grm,
-3_forma,
-3_dom,
-3_ID,
-3_2dom_prefix4,
-3_2dom_prefix3,
-3_2dom_prefix2,
-3_2dom_prefix1,
-3_2dom_postfix4,
-3_2dom_postfix3,
-3_2dom_postfix2,
-3_2dom_postfix1,
-3_2dom_posStart,
-3_2dom_pos,
-3_2dom_link,
-3_2dom_len,
-3_2dom_lemma,
-3_2dom_isupper,0
-3_2dom_istitle,0
-3_2dom_islower,0
-3_2dom_isdigit,0
-3_2dom_isalpha,0
-3_2dom_isalnum,0
-3_2dom_isLastWord,0
-3_2dom_isFirstWord,0
-3_2dom_grm,
-3_2dom_forma,
-3_2dom_dom,
-3_2dom_ID,
-3_1dom_prefix4,
-3_1dom_prefix3,
-3_1dom_prefix2,
-3_1dom_prefix1,
-3_1dom_postfix4,
-3_1dom_postfix3,
-3_1dom_postfix2,
-3_1dom_postfix1,
-3_1dom_posStart,
-3_1dom_pos,
-3_1dom_link,
-3_1dom_len,
-3_1dom_lemma,
-3_1dom_isupper,0
-3_1dom_istitle,0
-3_1dom_islower,0
-3_1dom_isdigit,0
-3_1dom_isalpha,0
-3_1dom_isalnum,0
-3_1dom_isLastWord,0
-3_1dom_isFirstWord,0
-3_1dom_grm,
-3_1dom_forma,
-3_1dom_dom,
-3_1dom_ID,
-2_prefix4,
-2_prefix3,
-2_prefix2,
-2_prefix1,
-2_postfix4,
-2_postfix3,
-2_postfix2,
-2_postfix1,
-2_posStart,
-2_pos,
-2_link,
-2_len,
-2_lemma,
-2_isupper,0
-2_istitle,0
-2_islower,0
-2_isdigit,0
-2_isalpha,0
-2_isalnum,0
-2_isLastWord,0
-2_isFirstWord,0
-2_grm,
-2_forma,
-2_dom,
-2_ID,
-2_2dom_prefix4,
-2_2dom_prefix3,
-2_2dom_prefix2,
-2_2dom_prefix1,
-2_2dom_postfix4,
-2_2dom_postfix3,
-2_2dom_postfix2,
-2_2dom_postfix1,
-2_2dom_posStart,
-2_2dom_pos,
-2_2dom_link,
-2_2dom_len,
-2_2dom_lemma,
-2_2dom_isupper,0
-2_2dom_istitle,0
-2_2dom_islower,0
-2_2dom_isdigit,0
-2_2dom_isalpha,0
-2_2dom_isalnum,0
-2_2dom_isLastWord,0
-2_2dom_isFirstWord,0
-2_2dom_grm,
-2_2dom_forma,
-2_2dom_dom,
-2_2dom_ID,
-2_1dom_prefix4,
-2_1dom_prefix3,
-2_1dom_prefix2,
-2_1dom_prefix1,
-2_1dom_postfix4,
-2_1dom_postfix3,
-2_1dom_postfix2,
-2_1dom_postfix1,
-2_1dom_posStart,
-2_1dom_pos,
-2_1dom_link,
-2_1dom_len,
-2_1dom_lemma,
-2_1dom_isupper,0
-2_1dom_istitle,0
-2_1dom_islower,0
-2_1dom_isdigit,0
-2_1dom_isalpha,0
-2_1dom_isalnum,0
-2_1dom_isLastWord,0
-2_1dom_isFirstWord,0
-2_1dom_grm,
-2_1dom_forma,
-2_1dom_dom,
-2_1dom_ID,
-1_prefix4,
-1_prefix3,
-1_prefix2,
-1_prefix1,
-1_postfix4,
-1_postfix3,
-1_postfix2,
-1_postfix1,
-1_posStart,
-1_pos,
-1_link,
-1_len,
-1_lemma,
-1_isupper,0
-1_istitle,0
-1_islower,0
-1_isdigit,0
-1_isalpha,0
-1_isalnum,0
-1_isLastWord,0
-1_isFirstWord,0
-1_grm,
-1_forma,
-1_dom,
-1_ID,
-1_2dom_prefix4,
-1_2dom_prefix3,
-1_2dom_prefix2,
-1_2dom_prefix1,
-1_2dom_postfix4,
-1_2dom_postfix3,
-1_2dom_postfix2,
-1_2dom_postfix1,
-1_2dom_posStart,
-1_2dom_pos,
-1_2dom_link,
-1_2dom_len,
-1_2dom_lemma,
-1_2dom_isupper,0
-1_2dom_istitle,0
-1_2dom_islower,0
-1_2dom_isdigit,0
-1_2dom_isalpha,0
-1_2dom_isalnum,0
-1_2dom_isLastWord,0
-1_2dom_isFirstWord,0
-1_2dom_grm,
-1_2dom_forma,
-1_2dom_dom,
-1_2dom_ID,
-1_1dom_prefix4,
-1_1dom_prefix3,
-1_1dom_prefix2,
-1_1dom_prefix1,
-1_1dom_postfix4,
-1_1dom_postfix3,
-1_1dom_postfix2,
-1_1dom_postfix1,
-1_1dom_posStart,
-1_1dom_pos,
-1_1dom_link,
-1_1dom_len,
-1_1dom_lemma,
-1_1dom_isupper,0
-1_1dom_istitle,0
-1_1dom_islower,0
-1_1dom_isdigit,0
-1_1dom_isalpha,0
-1_1dom_isalnum,0
-1_1dom_isLastWord,0
-1_1dom_isFirstWord,0
-1_1dom_grm,
-1_1dom_forma,
-1_1dom_dom,
-1_1dom_ID,
+5_prefix4,
+5_prefix3,
+5_prefix2,
+5_prefix1,
+5_postfix4,
+5_postfix3,
+5_postfix2,
+5_postfix1,
+5_posStart,
+5_pos,
+5_link,
+5_len,
+5_lemma,
+5_isupper,0
+5_istitle,0
+5_islower,0
+5_isdigit,0
+5_isalpha,0
+5_isalnum,0
+5_isLastWord,0
+5_isFirstWord,0
+5_grm,
+5_forma,
+5_dom,
+5_ID,
+5_2dom_prefix4,
+5_2dom_prefix3,
+5_2dom_prefix2,
+5_2dom_prefix1,
+5_2dom_postfix4,
+5_2dom_postfix3,
+5_2dom_postfix2,
+5_2dom_postfix1,
+5_2dom_posStart,
+5_2dom_pos,
+5_2dom_link,
+5_2dom_len,
+5_2dom_lemma,
+5_2dom_isupper,0
+5_2dom_istitle,0
+5_2dom_islower,0
+5_2dom_isdigit,0
+5_2dom_isalpha,0
+5_2dom_isalnum,0
+5_2dom_isLastWord,0
+5_2dom_isFirstWord,0
+5_2dom_grm,
+5_2dom_forma,
+5_2dom_dom,
+5_2dom_ID,
+5_1dom_prefix4,
+5_1dom_prefix3,
+5_1dom_prefix2,
+5_1dom_prefix1,
+5_1dom_postfix4,
+5_1dom_postfix3,
+5_1dom_postfix2,
+5_1dom_postfix1,
+5_1dom_posStart,
+5_1dom_pos,
+5_1dom_link,
+5_1dom_len,
+5_1dom_lemma,
+5_1dom_isupper,0
+5_1dom_istitle,0
+5_1dom_islower,0
+5_1dom_isdigit,0
+5_1dom_isalpha,0
+5_1dom_isalnum,0
+5_1dom_isLastWord,0
+5_1dom_isFirstWord,0
+5_1dom_grm,
+5_1dom_forma,
+5_1dom_dom,
+5_1dom_ID,
+4_prefix4,
+4_prefix3,
+4_prefix2,
+4_prefix1,
+4_postfix4,
+4_postfix3,
+4_postfix2,
+4_postfix1,
+4_posStart,
+4_pos,
+4_link,
+4_len,
+4_lemma,
+4_isupper,0
+4_istitle,0
+4_islower,0
+4_isdigit,0
+4_isalpha,0
+4_isalnum,0
+4_isLastWord,0
+4_isFirstWord,0
+4_grm,
+4_forma,
+4_dom,
+4_ID,
+4_2dom_prefix4,
+4_2dom_prefix3,
+4_2dom_prefix2,
+4_2dom_prefix1,
+4_2dom_postfix4,
+4_2dom_postfix3,
+4_2dom_postfix2,
+4_2dom_postfix1,
+4_2dom_posStart,
+4_2dom_pos,
+4_2dom_link,
+4_2dom_len,
+4_2dom_lemma,
+4_2dom_isupper,0
+4_2dom_istitle,0
+4_2dom_islower,0
+4_2dom_isdigit,0
+4_2dom_isalpha,0
+4_2dom_isalnum,0
+4_2dom_isLastWord,0
+4_2dom_isFirstWord,0
+4_2dom_grm,
+4_2dom_forma,
+4_2dom_dom,
+4_2dom_ID,
+4_1dom_prefix4,
+4_1dom_prefix3,
+4_1dom_prefix2,
+4_1dom_prefix1,
+4_1dom_postfix4,
+4_1dom_postfix3,
+4_1dom_postfix2,
+4_1dom_postfix1,
+4_1dom_posStart,
+4_1dom_pos,
+4_1dom_link,
+4_1dom_len,
+4_1dom_lemma,
+4_1dom_isupper,0
+4_1dom_istitle,0
+4_1dom_islower,0
+4_1dom_isdigit,0
+4_1dom_isalpha,0
+4_1dom_isalnum,0
+4_1dom_isLastWord,0
+4_1dom_isFirstWord,0
+4_1dom_grm,
+4_1dom_forma,
+4_1dom_dom,
+4_1dom_ID,
+3_prefix4,
+3_prefix3,
+3_prefix2,
+3_prefix1,
+3_postfix4,
+3_postfix3,
+3_postfix2,
+3_postfix1,
+3_posStart,
+3_pos,
+3_link,
+3_len,
+3_lemma,
+3_isupper,0
+3_istitle,0
+3_islower,0
+3_isdigit,0
+3_isalpha,0
+3_isalnum,0
+3_isLastWord,0
+3_isFirstWord,0
+3_grm,
+3_forma,
+3_dom,
+3_ID,
+3_2dom_prefix4,
+3_2dom_prefix3,
+3_2dom_prefix2,
+3_2dom_prefix1,
+3_2dom_postfix4,
+3_2dom_postfix3,
+3_2dom_postfix2,
+3_2dom_postfix1,
+3_2dom_posStart,
+3_2dom_pos,
+3_2dom_link,
+3_2dom_len,
+3_2dom_lemma,
+3_2dom_isupper,0
+3_2dom_istitle,0
+3_2dom_islower,0
+3_2dom_isdigit,0
+3_2dom_isalpha,0
+3_2dom_isalnum,0
+3_2dom_isLastWord,0
+3_2dom_isFirstWord,0
+3_2dom_grm,
+3_2dom_forma,
+3_2dom_dom,
+3_2dom_ID,
+3_1dom_prefix4,
+3_1dom_prefix3,
+3_1dom_prefix2,
+3_1dom_prefix1,
+3_1dom_postfix4,
+3_1dom_postfix3,
+3_1dom_postfix2,
+3_1dom_postfix1,
+3_1dom_posStart,
+3_1dom_pos,
+3_1dom_link,
+3_1dom_len,
+3_1dom_lemma,
+3_1dom_isupper,0
+3_1dom_istitle,0
+3_1dom_islower,0
+3_1dom_isdigit,0
+3_1dom_isalpha,0
+3_1dom_isalnum,0
+3_1dom_isLastWord,0
+3_1dom_isFirstWord,0
+3_1dom_grm,
+3_1dom_forma,
+3_1dom_dom,
+3_1dom_ID,
+2_prefix4,.
+2_prefix3,.
+2_prefix2,.
+2_prefix1,.
+2_postfix4,.
+2_postfix3,.
+2_postfix2,.
+2_postfix1,.
+2_posStart,20.0
+2_pos,MAD
+2_link,атриб
+2_len,1.0
+2_lemma,.
+2_isupper,0
+2_istitle,0
+2_islower,0
+2_isdigit,0
+2_isalpha,0
+2_isalnum,0
+2_isLastWord,1
+2_isFirstWord,0
+2_grm,
+2_forma,.
+2_dom,0.0
+2_ID,3.0
+2_2dom_prefix4,
+2_2dom_prefix3,
+2_2dom_prefix2,
+2_2dom_prefix1,
+2_2dom_postfix4,
+2_2dom_postfix3,
+2_2dom_postfix2,
+2_2dom_postfix1,
+2_2dom_posStart,
+2_2dom_pos,
+2_2dom_link,
+2_2dom_len,
+2_2dom_lemma,
+2_2dom_isupper,0
+2_2dom_istitle,0
+2_2dom_islower,0
+2_2dom_isdigit,0
+2_2dom_isalpha,0
+2_2dom_isalnum,0
+2_2dom_isLastWord,0
+2_2dom_isFirstWord,0
+2_2dom_grm,
+2_2dom_forma,
+2_2dom_dom,
+2_2dom_ID,
+2_1dom_prefix4,
+2_1dom_prefix3,
+2_1dom_prefix2,
+2_1dom_prefix1,
+2_1dom_postfix4,
+2_1dom_postfix3,
+2_1dom_postfix2,
+2_1dom_postfix1,
+2_1dom_posStart,
+2_1dom_pos,
+2_1dom_link,
+2_1dom_len,
+2_1dom_lemma,
+2_1dom_isupper,0
+2_1dom_istitle,0
+2_1dom_islower,0
+2_1dom_isdigit,0
+2_1dom_isalpha,0
+2_1dom_isalnum,0
+2_1dom_isLastWord,0
+2_1dom_isFirstWord,0
+2_1dom_grm,
+2_1dom_forma,
+2_1dom_dom,
+2_1dom_ID,
+1_prefix4,верт
+1_prefix3,вер
+1_prefix2,ве
+1_prefix1,в
+1_postfix4,ский
+1_postfix3,кий
+1_postfix2,ий
+1_postfix1,й
+1_posStart,10.0
+1_pos,S
+1_link,аппоз
+1_len,10.0
+1_lemma,ВЕРТИНСКИЙ
+1_isupper,0
+1_istitle,1
+1_islower,0
+1_isdigit,0
+1_isalpha,1
+1_isalnum,1
+1_isLastWord,0
+1_isFirstWord,0
+1_grm,МУЖ ИМ ОД ЕД
+1_forma,вертинский
+1_dom,0.0
+1_ID,2.0
+1_2dom_prefix4,
+1_2dom_prefix3,
+1_2dom_prefix2,
+1_2dom_prefix1,
+1_2dom_postfix4,
+1_2dom_postfix3,
+1_2dom_postfix2,
+1_2dom_postfix1,
+1_2dom_posStart,
+1_2dom_pos,
+1_2dom_link,
+1_2dom_len,
+1_2dom_lemma,
+1_2dom_isupper,0
+1_2dom_istitle,0
+1_2dom_islower,0
+1_2dom_isdigit,0
+1_2dom_isalpha,0
+1_2dom_isalnum,0
+1_2dom_isLastWord,0
+1_2dom_isFirstWord,0
+1_2dom_grm,
+1_2dom_forma,
+1_2dom_dom,
+1_2dom_ID,
+1_1dom_prefix4,
+1_1dom_prefix3,
+1_1dom_prefix2,
+1_1dom_prefix1,
+1_1dom_postfix4,
+1_1dom_postfix3,
+1_1dom_postfix2,
+1_1dom_postfix1,
+1_1dom_posStart,
+1_1dom_pos,
+1_1dom_link,
+1_1dom_len,
+1_1dom_lemma,
+1_1dom_isupper,0
+1_1dom_istitle,0
+1_1dom_islower,0
+1_1dom_isdigit,0
+1_1dom_isalpha,0
+1_1dom_isalnum,0
+1_1dom_isLastWord,0
+1_1dom_isFirstWord,0
+1_1dom_grm,
+1_1dom_forma,
+1_1dom_dom,
+1_1dom_ID,
